WBAN,YearMonth,AvgMaxTemp,DepartureMaxTemp,AvgMinTemp,DepartureMinTemp,AvgTemp,DeparturefromNormal,AvgDewPoint,AvgWetBulb,HeatingDegreeDays,CoolingDegreeDays,HDDMonthlyDeparture,CDDMonthlyDeparture,HDDSeasonToDate,CDDSeasonToDate,HDDSeasonToDateDeparture,CDDSeasonToDateDeparture,MeanStationPressure,MeanSeaLevelPressure,MaxSeaLevelPressure,DateMaxSeaLevelPressure,TimeMaxSeaLevelPressure,MinSeaLevelPressure,DateMinSeaLevelPressure,TimeMinSeaLevelPressure,TotalMonthlyPrecip,DepartureFromNormalPrecip,Max24HrPrecip,DateMax24HrPrecip,TotalSnowfall,Max24HrSnowfall,DateMax24HrSnowfall,Max12ZSnowDepth,DateMax12ZSnowDepth,MaxTemp>=90Days,MaxTemp<=32Days,MinTemp<=32Days,MinTemp<=0Days,ThunderstormDays,HeavyFogDays,DaysWithPrecip>=.01inch,DaysWithPrecip>=.10inch,DaysWithSnowfall>=1.0inch,WaterEquivalent,ResultantWindSpeed,ResultantWindDirection,AvgWindSpeed,AvgHDD,AvgCDD
03013,201012,50.2,M,17.6,M,33.9,M,17.8,27.0,899,0,M,M,M,,M,,26.17,30.00,30.57,25,0941,29.08,30,0036,0.02,M,0.02,30-31,M,M,M,M,M,M,M,M,M,0,0,1,0,M,M,0.2,17,7.2,31.0,0.0
03016,201012,M,M,M,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,M,M
03017,201012,48.9,4.8,19.6,3.2,34.3,4.0,14.4,26.9,944,0,-134,0,2072,870,-414,174,24.52,29.95,30.47,05,1957,29.01,29,1511,0.27,-0.36,0.21,30-31,M,M,M,M,M,0,2,28,1,0,1,7,2,2,M,1.4,20,8.7,30.5,0.0
03024,201012,53.8,M,29.8,M,41.8,M,22.8,33.6,713,0,M,M,M,,M,,26.85,30.03,30.57,25,1121,29.22,30,0154,0.49,M,0.37,17,M,M,M,M,M,0,1,21,0,0,1,2,2,M,M,1.6,23,8.8,23.0,0.0
03026,201012,47.4,M,17.5,M,32.5,M,17.7,26.6,1002,0,M,M,M,,M,,25.68,30.02,30.57,25,0915,29.05,29,2324,0.12,M,0.11,07,M,M,M,M,M,0,1,31,1,0,2,2,1,M,M,2.6,27,10.8,32.3,0.0
03027,201012,47.4,M,25.3,M,36.4,M,20.0,29.6,878,0,M,M,M,,M,,23.12,30.02,30.38,06,0723,29.23,30,1152,0.94,M,0.67,16-17,M,M,M,M,M,0,2,27,0,0,5,7,3,M,M,12.9,28,16.7,28.3,0.0
03028,201012,51.5,M,22.5,M,37.0,M,20.2,29.8,858,0,M,M,M,,M,,25.52,29.97,30.51,05,1937,29.05,30,0045,0.25,M,0.23,16-17,M,M,M,M,M,0,2,29,1,0,0,3,1,M,M,2.6,27,10.3,27.7,0.0
03029,201012,48.6,M,20.5,M,34.6,M,21.2,28.4,936,0,M,M,M,,M,,23.46,30.03,30.48,01,0749,29.13,30,0607,1.32,M,0.52,16-17,M,M,M,M,M,0,2,26,1,0,4,9,5,M,M,2.7,23,4.6,30.2,0.0
03030,201012,51.6,M,23.1,M,37.4,M,21.6,30.7,850,0,M,M,M,,M,,26.78,30.02,30.56,25,1115,29.11,30,0240,0.26,M,0.22,17,M,M,M,M,M,0,0,28,0,0,0,3,1,M,M,1.6,24,8.7,27.4,0.0
03031,201012,64.1,M,34.0,M,49.1,M,21.4,37.6,488,0,M,M,M,,M,,26.95,30.02,30.49,06,0818,29.31,30,1934, T ,M,T,M,M,M,M,M,M,0,0,13,0,0,2,0,0,M,M,1.0,23,8.3,15.7,0.0
03032,201012,67.3,M,35.6,M,51.5,M,23.6,39.4,394,0,M,M,M,,M,,27.65,30.02,30.49,06,0958,29.34,30,1604,0.00,M,0.00,M,M,M,M,M,M,0,0,11,0,0,0,0,0,M,M,1.8,34,7.3,13.6,0.0
03047,201012,65.1,M,32.2,M,48.6,M,M,M,499,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,0,0,15,0,0,0,0,0,M,M,M,M,M,16.1,0.0
03048,201012,56.1,M,26.4,M,41.3,M,M,M,731,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.13,M,0.09,16-17,M,M,M,M,M,0,1,24,0,0,0,4,0,M,M,M,M,M,23.6,0.0
03054,201012,59.2,M,24.4,M,41.8,M,M,M,696,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.04,M,0.04,29-30,M,M,M,M,M,0,0,27,0,0,0,1,0,M,M,M,M,M,23.2,0.0
03055,201012,50.7,M,22.5,M,36.6,M,M,M,851,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.33,M,0.30,16-17,M,M,M,M,M,0,0,28,0,0,0,2,1,M,M,M,M,M,28.4,0.0
03060,201012,36.3,M,22.8,M,29.5,M,M,M,1054,0,M,M,M,,M,,M,M,M,M,M,M,M,M,1.12,M,0.40,30-01,M,M,M,M,M,0,9,28,1,0,0,10,4,M,M,M,M,M,35.1,0.0
03061,201012,M,M,M,M,M,M,M,M,897,0,M,M,M,,M,,M,M,M,M,M,M,M,M,4.71,M,1.67,29-30,M,M,M,M,M,M,M,M,M,0,0,13,9,M,M,M,M,M,32.0,0.0
03062,201012,40.8,M,16.7,M,28.8,M,M,M,1113,0,M,M,M,,M,,M,M,M,M,M,M,M,M,3.19,M,1.27,29-30,M,M,M,M,M,0,5,29,1,0,0,11,8,M,M,M,M,M,35.9,0.0
03063,201012,50.9,M,14.7,M,32.8,M,M,M,988,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.33,M,0.19,16-17,M,M,M,M,M,0,2,31,1,0,0,3,1,M,M,M,M,M,31.9,0.0
03067,201012,46.2,M,17.1,M,31.6,M,M,M,1027,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.23,M,0.20,30-01,M,M,M,M,M,0,2,31,1,0,0,3,1,M,M,M,M,M,33.1,0.0
03068,201012,45.6,M,15.7,M,30.7,M,14.5,26.4,M,M,M,M,,M,M,M,24.00,30.06,30.59,05,2056,29.13,30,0404,0.02,M,0.01,23,M,M,M,M,M,0,3,31,1,0,4,2,0,M,M,1.1,04,M,M,M
03072,201012,62.8,M,29.1,M,45.9,M,M,M,583,0,M,M,M,,M,,M,M,M,M,M,M,M,M,1.31,M,1.31,23-24,M,M,M,M,M,0,0,22,0,0,0,1,1,M,M,M,M,M,18.8,0.0
03074,201012,62.4,M,23.4,M,42.9,M,M,M,678,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.07,M,0.07,29-30,M,M,M,M,M,0,0,25,0,0,0,1,0,M,M,M,M,M,21.9,0.0
03075,201012,42.4,M,19.0,M,30.7,M,M,M,1057,0,M,M,M,,M,,M,M,M,M,M,M,M,M,3.72,M,1.06,29-30,M,M,M,M,M,0,3,29,2,0,0,11,9,M,M,M,M,M,34.1,0.0
