description,units,source key,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16
Average cost of fossil fuels for electricity generation (per Btu) for petroleum liquids,dollars per million Btu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.COST_BTU.PEL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all sectors,,ELEC.COST_BTU.PEL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-NH-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,W,W,W,W,W,0,0,0,0,0,0,W,W,W,0,0,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,,ELEC.COST_BTU.PEL-RI-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island : all sectors,,ELEC.COST_BTU.PEL-RI-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-RI-98.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0,W,W,W,0,W,W,0,0,W,0,0,W,0,0,0,W,W,0,0,0,0,0,W,0,W,0,W,W,W,0,0,0,0,0,0,0,W
Rhode Island : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-RI-1.M,18.38,19.24,19.5,22.36,26.16,25.64,25.4,22.52,20.25,18.71,17.22,12.34,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-RI-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0,W,W,W,0,W,W,0,0,W,0,0,W,0,0,0,W,W,0,0,0,0,0,W,0,W,0,W,W,W,0,0,0,0,0,0,0,W
Vermont,,ELEC.COST_BTU.PEL-VT-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont : all sectors,,ELEC.COST_BTU.PEL-VT-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-VT-98.M,17.79,18.71,18.71,21.03,26.47,25.44,25.26,22.22,20.13,18.15,16.66,11.38,NM,NM,W,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-VT-1.M,17.79,18.71,18.71,21.03,26.47,25.44,25.26,22.22,20.13,18.15,16.66,11.38,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-VT-94.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic,,ELEC.COST_BTU.PEL-MAT-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlantic : all sectors,,ELEC.COST_BTU.PEL-MAT-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlantic : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-MAT-98.M,15.01,14.34,18.11,13.78,25.88,21.28,21.6,19.04,17.35,15.52,8.83,6.89,7.65,7.35,W,W,10.18,11.47,10.69,W,13.32,12.36,W,12.45,NM,12.7,13.73,NM,15.14,14.55,14.19,13.66,13.26,13.87,W,NM,17.43,18.65,19.51,22.02,20.69,21.7,22.6,21.17,W,20.07,18.74,22,W,W,W,23.65,W,20.21,W,W,24.04,W,W,19.53,22.15,W,18.1,19.56,W,W,21.68,19.29,20.67,21.29,19.49,23.38,21.51,21.62,22.04,W,21.12,20.65,W,18.84,19.33,W,15.97,12.34,12.82,13.5,10.94,13.93,12.46,14.7,W,12.33,9.77,W,7.35,W,W,6.4,W,9.59,11.44,11.72,W,11.28,W,W,W
Middle Atlantic : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-MAT-1.M,13.04,12.78,15.96,13.92,26.35,19.13,21.58,18,15.1,14.08,8.46,6.42,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,16.6,NM,17.97,24.03,NM,22.96,23.67,18.38,22.68,NM,18.94,22.23,18.65,19.73,24.93,0,21.25,20.89,22.66,23.83,24.99,18.7,24.62,25.99,25.85,20.35,18.68,21.5,23.91,24.1,24.48,17.79,23.78,24.87,22.29,24.21,24.99,19.91,20.71,18.71,23.72,23.71,16.98,17.43,22.71,22.29,11.52,9.67,9.49,10.9,9.68,0,9.25,15.42,14.53,12.6,13,12.09,6.71,5.74,7.61,8.29,0,8.81,0,0,10.06,10.99,10.9,7.59,7
Middle Atlantic : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-MAT-94.M,17.51,17.73,18.26,13.7,25.83,24.89,21.62,20.5,20.76,15.97,9.05,7.33,8.16,8.3,W,W,12.25,12.4,12.19,W,13.88,13.45,W,12.92,NM,14.57,15.78,NM,15.11,14.33,13.57,13.99,14.3,NM,W,NM,18.04,19.15,23.12,21.79,20.68,21.4,21.74,21.64,W,21.12,18.63,21.96,W,W,W,23.65,W,20.02,W,W,23.96,W,W,19.52,21.76,W,17.74,19.54,W,W,19.88,19.65,20.48,20.86,19.47,23.32,21.31,22.39,22.86,W,21.03,20.54,W,19.9,19.19,W,17.84,16.14,18.08,14.01,13.26,13.93,14.9,14.68,W,12.32,9.75,W,9.52,W,W,6.26,W,9.66,11.44,11.72,W,11.48,W,W,W
New Jersey,,ELEC.COST_BTU.PEL-NJ-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey : all sectors,,ELEC.COST_BTU.PEL-NJ-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-NJ-98.M,20.4,19.82,18.14,22.91,23.36,22.86,17.47,28.56,23.4,20.24,9.05,7.59,10.1,8.46,W,W,9.87,15.43,9.82,W,14.04,16.23,W,15.78,NM,14.53,16.39,17.44,16.59,16.33,14.21,13.71,15.45,15.31,W,NM,16.79,NM,23.62,24.94,19.44,19.37,21.82,21.87,23.17,20.43,19.29,23.01,W,24.54,W,W,W,W,W,24.6,24.19,23.24,W,W,W,W,15.99,W,20.52,W,W,22.35,W,W,W,22.86,23.87,23.87,W,22.05,W,W,W,21.28,W,W,W,W,12.4,W,W,W,W,W,W,11.28,W,W,10.16,8.3,W,W,W,W,W,W,W,W,W,W,W
New Jersey : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-NJ-1.M,17.02,18.5,15.07,22.78,22.13,18.68,23.35,22.25,20.62,18.05,7.83,6.76,NM,7.07,11.24,0,8.47,15.04,9.49,17.55,15.09,0,12.44,15.23,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-NJ-94.M,20.61,19.9,23.03,22.97,23.42,31.28,16.95,29.93,24.73,20.38,10.61,8.96,11.95,11.05,W,W,13.09,15.43,13.26,W,14.03,16.23,W,15.78,NM,14.55,16.44,17.49,16.64,16.4,14.22,13.7,16.26,15.31,W,NM,19.87,22.79,23.69,25.01,19.46,19.32,21.83,21.97,23.22,20.43,19.23,23.04,W,24.54,W,W,W,W,W,24.6,24.19,23.24,W,W,W,W,15.99,W,20.52,W,W,22.35,W,W,W,22.86,23.87,23.87,W,22.05,W,W,W,21.28,W,W,W,W,12.4,W,W,W,W,W,W,11.28,W,W,10.16,8.3,W,W,W,W,W,W,W,W,W,W,W
New York,,ELEC.COST_BTU.PEL-NY-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York : all sectors,,ELEC.COST_BTU.PEL-NY-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-NY-98.M,13.43,13.5,16.39,12.69,27.7,20.04,21.46,18.36,15.93,14.15,12.32,6.47,7.4,7.03,W,W,10.98,10.62,10.57,W,13.24,11.78,W,12.2,12.89,12.07,12.94,NM,14.06,13.44,14.2,13.3,13.1,13.39,13.51,18.15,17.58,17.66,18.62,20.08,18.51,21.55,23.08,21.29,W,19.57,17.92,21.89,W,W,W,W,25.23,W,22.56,23.9,26.2,19.03,W,W,W,20.85,W,W,W,W,22.21,W,W,W,W,24.82,20.7,20.81,W,W,W,W,W,W,W,W,W,W,12.82,13.19,10.43,W,W,W,14.22,13.96,9.34,W,7.02,W,8.74,W,9.67,W,W,W,W,11.81,W,W,W
New York : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-NY-1.M,13.02,12.76,16.37,13.85,27.05,19.26,21.57,17.97,15.07,13.98,16.63,6.38,7.19,6.73,10.46,11.02,12.07,10.21,10.16,12.71,12.99,11.65,14.94,12.16,12.69,11.66,12.47,NM,15.9,16.19,15.45,13.24,12.66,12.83,12.96,20.04,20.12,21.13,17.96,24.03,23.31,22.97,23.67,18.38,22.68,NM,18.9,22.23,18.65,19.73,24.93,0,21.25,20.89,22.66,23.83,24.99,18.7,24.62,25.99,25.85,20.35,18.68,21.5,23.91,24.1,24.48,17.79,23.78,24.87,22.29,24.21,24.99,19.91,20.71,18.71,23.72,23.71,16.98,17.43,22.71,22.29,11.52,9.67,9.49,10.9,9.68,0,9.25,15.42,14.53,12.6,13,12.09,6.71,5.74,7.61,8.29,0,8.81,0,0,10.06,10.99,10.9,7.59,7
New York : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-NY-94.M,14.8,16.36,16.39,11.85,30.94,21.79,21.27,19.09,18.64,14.24,11.02,6.64,7.75,7.69,W,W,10.76,11.13,11.83,W,15.51,12.11,W,12.29,13.69,13.9,16.59,NM,13.87,12.57,13.23,13.38,15.64,NM,15.69,17.39,16.77,16.68,23,18.92,18.36,20.44,21.27,22.39,W,20.6,16.85,21.8,W,W,W,W,26.79,W,21.87,24.9,27.51,27.51,W,W,W,20.97,W,W,W,W,19.52,W,W,W,W,25.18,20.31,21.45,W,W,W,W,W,W,W,W,W,W,19.79,13.7,13.2,W,W,W,12.99,14.8,9.3,W,8.65,W,8.88,W,9.67,W,W,W,W,13.75,W,W,W
Pennsylvania,,ELEC.COST_BTU.PEL-PA-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania : all sectors,,ELEC.COST_BTU.PEL-PA-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-PA-98.M,18.85,19.43,20.86,17.09,27.08,27.35,26.01,23.62,22.74,16.94,8.16,7.93,7.61,8.16,W,14.33,11.32,14.36,12.86,14.45,13.42,15.65,15.67,15.6,15.31,15.11,15.53,16.56,15.82,15.62,14.15,15.33,13.62,17.01,W,18.06,19.67,21.08,23.14,23.64,22.71,22.28,21.92,20.61,22.28,21.92,21.57,22.25,22.76,24.08,24.47,23.58,W,20.42,18.05,W,23.54,W,W,23.12,23.29,24.25,W,W,21.38,21.57,W,W,W,23.93,W,23.1,22.61,23.88,24.21,22.64,W,W,21.89,W,W,20.09,19.26,16.23,12.8,W,W,13.96,W,14.66,13.57,12.1,W,11.45,11.29,9.3,7.97,8.25,8.94,9.55,11.41,11.68,10.82,W,10.72,10.68,11.25
Pennsylvania : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-PA-1.M,18.28,19.12,19.43,22.19,26.33,25.81,25.59,22.59,20.33,19.12,17.19,12.32,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-PA-94.M,18.85,19.43,20.86,17.09,27.08,27.35,26.01,23.62,22.74,16.94,8.15,7.93,7.61,8.15,W,14.33,11.32,14.36,12.86,14.45,13.42,15.65,15.67,15.6,15.31,15.11,15.52,16.56,15.82,15.62,14.15,15.33,13.62,17.01,W,18.06,19.67,21.08,23.14,23.64,22.71,22.28,21.92,20.6,22.28,21.92,21.56,22.25,22.76,24.08,24.47,23.58,W,20.42,18.05,W,23.54,W,W,23.12,23.29,24.25,W,W,21.38,21.57,W,W,W,23.93,W,23.1,22.61,23.88,24.21,22.64,W,W,21.89,W,W,20.09,19.26,16.23,12.8,W,W,13.96,W,14.66,13.57,12.1,W,11.45,11.29,9.3,7.97,8.25,8.94,9.55,11.41,11.68,10.82,W,10.72,10.68,11.25
East North Central,,ELEC.COST_BTU.PEL-ENC-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East North Central : all sectors,,ELEC.COST_BTU.PEL-ENC-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East North Central : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-ENC-98.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,19.61,W,22.82,24.33,23.29,23.19,23.32,22.62,22.57,22.69,23.1,21.5,22.26,23.14,24.84,24.16,23.02,21,21.68,23.95,24.05,24.44,24.13,23.03,22.66,24.82,23.38,22.86,23.05,22.04,22.22,23.18,23.31,22.86,22.63,22.38,24.04,25.08,24.94,23.61,23.37,22.85,22.51,21.73,21.44,20.62,22.15,16.36,13.02,14.88,15.03,13.6,15.34,15.24,13.69,W,12.55,13.64,12.15,9.35,8.36,8.68,9.73,10.27,12.54,12.25,11.11,11.09,10.37,11.93,11.74
East North Central : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-ENC-1.M,18.68,19.84,21.64,22.39,25.76,24.73,23.88,22.63,22.7,19.34,15.49,11.45,11.04,10.02,9.64,9.23,10.54,10.67,11.6,13.39,13.4,14.78,14.14,14.57,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,19.5,20.27,22.82,24.25,23.08,23.13,23.2,22.44,22.38,22.57,23,21.23,22.17,22.94,24.53,24.06,22.78,21,21.54,23.9,24.1,24.4,23.96,22.95,22.71,24.74,23.38,22.83,23.07,21.92,22.21,23.1,23.14,22.78,22.6,22.36,22.41,24.64,23.59,23.61,23.65,22.87,22.06,21.66,21.33,20.64,22.16,17.01,13.34,14.88,15.04,13.51,15.16,14.95,14.34,12.66,12.52,13.37,12.38,9.19,8.61,8.57,9.81,10.11,11.3,12.1,11.04,11.25,11.45,12.43,11.15
East North Central : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-ENC-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,20.93,W,22.79,25.12,24.55,23.7,23.92,23.84,23.44,23.17,23.86,23.57,23.04,24.05,25.93,24.83,23.78,21.03,22.21,24.26,23.77,24.65,24.6,23.64,22.38,25.13,23.38,23.06,22.97,22.42,22.26,23.52,23.49,23.24,22.78,22.57,25.23,25.57,26.83,23.59,22.77,22.8,23.2,21.82,21.7,20.57,22.07,15.2,12.66,14.87,14.96,14.06,15.55,15.99,12.81,W,12.63,14.41,11.42,9.6,8.19,9.04,9.61,10.55,13.85,12.52,11.2,10.85,9.59,11.63,12.53
Illinois,,ELEC.COST_BTU.PEL-IL-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois : all sectors,,ELEC.COST_BTU.PEL-IL-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-IL-98.M,20.73,21.93,26.03,27.12,29.77,29.96,W,27.24,26.12,22.11,19.23,15.73,15.57,14.28,W,W,11.47,16.61,13.86,15.45,W,17.1,16.23,16.05,NM,16.37,W,18.61,17.18,17.05,16.76,17.03,17.57,18.44,19.1,19.8,W,22.09,24.98,W,W,W,24.37,W,23.63,23.47,W,W,23.34,24.59,26.01,W,24.12,21.57,22.78,W,24.37,W,24.56,24.03,W,25.24,W,23.32,23.86,W,W,23.51,W,23.4,22.76,W,W,24.58,W,23.53,23.2,W,W,22.9,21.83,W,W,16.51,13.13,W,15.05,14.13,W,14.66,W,12.96,12.8,W,11.63,W,W,W,W,10.59,12.55,12.93,11.16,11.55,W,W,11.4
Illinois : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-IL-1.M,23.21,19.54,26.29,27.98,30.61,27.05,26.02,24,23.67,18.58,14.41,19.32,15.45,10.74,11,11.88,11.73,15.07,13.95,14.95,14.38,15.9,16.23,15.8,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,22.97,24.71,26.07,25.78,24.62,22.14,22.22,25.01,25.59,25.91,24.87,24.47,23.52,24.81,23.91,23.62,24.28,22.71,23.13,23.57,23.72,23.36,23.07,22.67,22.66,24.87,23.62,23.56,23.34,23.05,22.09,24.95,22.06,21.25,22.21,14.82,11.82,14.78,23.65,13.76,15.39,14.37,15.41,0,12.26,14.36,12.51,9.03,0,8.66,0,0,0,11.82,0,11.65,0,12.01,0
Illinois : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-IL-94.M,20.51,22.01,26.02,27.07,29.62,30.35,W,27.46,26.26,22.74,19.69,15.02,15.64,15.18,W,W,11.38,17.05,13.85,15.63,W,17.68,16.23,16.16,16.86,16.46,W,18.68,17.29,17.16,16.89,17.14,17.64,18.56,19.2,19.89,W,22.63,25.11,W,W,W,24.24,W,23.82,23.36,W,W,23.57,24.53,26,W,23.91,21.37,23.08,W,23.58,W,24.49,23.82,W,25.29,W,23.22,23.56,W,W,23.48,W,23.41,22.68,W,W,24.47,W,23.52,23.08,W,W,22.18,21.75,W,W,17.18,13.26,W,14.14,14.21,W,14.69,W,12.96,12.88,W,11.32,W,W,W,W,10.59,12.55,12.99,11.16,11.54,W,W,11.4
Indiana,,ELEC.COST_BTU.PEL-IN-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana : all sectors,,ELEC.COST_BTU.PEL-IN-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-IN-98.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,22.14,23.67,24.48,24.29,22.92,20.85,22.1,23.86,24.14,24.21,23.84,23.3,23.14,24.79,23.6,22.73,23.42,21.68,22.32,22.92,22.98,23.05,22.65,22.94,22.73,24.74,24.3,23.83,22.84,22.32,22.11,21.45,21.46,20.73,22.27,17.29,13.12,15.44,14.57,13.47,15.59,15.15,13.35,13.7,12.5,13.76,12.06,9.74,8.61,8.44,9.72,10.34,10.94,11.84,11.17,11.13,11.07,12.09,11.22
Indiana : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-IN-1.M,19.89,20.85,22.95,25.12,27.62,28.52,29.38,25.29,23.92,19.41,15.56,11.14,11.59,10.58,9.93,11.1,11.52,13.61,12.96,14.69,13.86,14.85,15.2,14.99,16.59,15.09,16.36,17.37,16.87,15.7,15.76,16.32,16.32,17.31,17.8,18.76,19.72,19.05,21.75,23.81,22.91,22.44,22.73,21.88,21.62,22.05,22.84,20.39,22.14,23.67,24.48,24.29,22.92,20.85,22.1,23.86,24.14,24.21,23.84,23.3,23.14,24.79,23.6,22.73,23.42,21.68,22.32,22.92,22.98,23.05,22.65,22.94,22.73,24.74,24.3,23.83,22.84,22.32,22.11,21.45,21.46,20.73,22.27,17.29,13.12,15.44,14.57,13.47,15.59,15.15,13.35,13.7,12.5,13.76,12.06,9.74,8.61,8.44,9.72,10.34,10.94,11.84,11.17,11.13,11.07,12.09,11.22
Indiana : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-IN-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,,ELEC.COST_BTU.PEL-MI-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
